employee_id,employee_name,job_title,department,hourly_rate,buyer_code,home_resource_id,hire_date,active,created_at
EMP-001,James Smith,CNC Machinist,Machining,42.0,,LB-001,2015-04-04,1,2026-09-21 14:37:59
EMP-002,Maria Smith,CNC Machinist,Machining,44.0,,LB-002,2015-07-02,1,2026-09-21 14:37:59
EMP-003,Robert Smith,Assembly Technician,Assembly,40.75,,LB-003,2015-09-29,1,2026-09-21 14:37:59
EMP-004,Linda Smith,Quality Inspector,Quality,42.75,,LB-004,2015-12-27,1,2026-09-21 14:37:59
EMP-005,Michael Smith,Quality Inspector,Quality,44.75,,LB-004,2016-03-25,1,2026-09-21 14:37:59
EMP-006,Patricia Smith,Welder,Welding,41.5,,LB-005,2016-06-22,1,2026-09-21 14:37:59
EMP-007,David Smith,Quality Inspector,Quality,43.5,,LB-004,2016-09-19,1,2026-09-21 14:37:59
EMP-008,Jennifer Smith,Assembly Technician,Assembly,40.25,,LB-003,2016-12-17,1,2026-09-21 14:37:59
EMP-009,William Smith,Quality Inspector,Quality,42.25,,LB-004,2017-03-16,1,2026-09-21 14:37:59
EMP-010,Elizabeth Smith,CNC Machinist,Machining,44.25,,MC-001,2017-06-13,1,2026-09-21 14:37:59
EMP-011,Richard Smith,Quality Inspector,Quality,41.0,,LB-004,2017-09-10,1,2026-09-21 14:37:59
EMP-012,Barbara Smith,Quality Inspector,Quality,43.0,,LB-004,2017-12-08,1,2026-09-21 14:37:59
EMP-013,Joseph Smith,CNC Machinist,Machining,45.0,,MC-002,2018-03-07,1,2026-09-21 14:37:59
EMP-014,Susan Smith,Welder,Welding,41.75,,LB-005,2018-06-04,1,2026-09-21 14:37:59
EMP-015,Thomas Smith,Quality Inspector,Quality,43.75,,LB-004,2018-09-01,1,2026-09-21 14:37:59
EMP-016,Jessica Smith,Quality Inspector,Quality,40.5,,LB-004,2018-11-29,1,2026-09-21 14:37:59
EMP-017,Carlos Smith,Quality Inspector,Quality,42.5,,LB-004,2019-02-26,1,2026-09-21 14:37:59
EMP-018,Sarah Smith,CNC Machinist,Machining,44.5,,MC-003,2019-05-26,1,2026-09-21 14:37:59
EMP-019,Daniel Smith,Welder,Welding,41.25,,LB-005,2019-08-23,1,2026-09-21 14:37:59
EMP-020,Karen Smith,Quality Inspector,Quality,43.25,,LB-004,2019-11-20,1,2026-09-21 14:37:59
EMP-021,Matthew Smith,CNC Machinist,Machining,40.0,,MC-004,2020-02-17,1,2026-09-21 14:37:59
EMP-022,Nancy Smith,CNC Machinist,Machining,42.0,,MC-005,2020-05-16,1,2026-09-21 14:37:59
EMP-023,Anthony Smith,CNC Machinist,Machining,44.0,,MC-006,2020-08-13,1,2026-09-21 14:37:59
EMP-024,Lisa Smith,Quality Inspector,Quality,40.75,,MC-007,2020-11-10,1,2026-09-21 14:37:59
EMP-025,Mark Smith,CNC Machinist,Machining,42.75,,LB-001,2021-02-07,1,2026-09-21 14:37:59
EMP-026,James Johnson,CNC Machinist,Machining,44.75,,LB-002,2021-05-07,1,2026-09-21 14:37:59
EMP-027,Maria Johnson,Assembly Technician,Assembly,41.5,,LB-003,2021-08-04,1,2026-09-21 14:37:59
EMP-028,Robert Johnson,Quality Inspector,Quality,43.5,,LB-004,2021-11-01,1,2026-09-21 14:37:59
EMP-029,Linda Johnson,Welder,Welding,40.25,,LB-005,2022-01-29,1,2026-09-21 14:37:59
EMP-030,Michael Johnson,CNC Machinist,Machining,42.25,,MC-001,2022-04-28,1,2026-09-21 14:37:59
EMP-031,Patricia Johnson,CNC Machinist,Machining,44.25,,MC-002,2022-07-26,1,2026-09-21 14:37:59
EMP-032,David Johnson,CNC Machinist,Machining,41.0,,MC-003,2022-10-23,1,2026-09-21 14:37:59
EMP-033,Jennifer Johnson,CNC Machinist,Machining,43.0,,MC-004,2023-01-20,1,2026-09-21 14:37:59
EMP-034,William Johnson,CNC Machinist,Machining,45.0,,MC-005,2023-04-19,1,2026-09-21 14:37:59
EMP-035,Elizabeth Johnson,CNC Machinist,Machining,41.75,,MC-006,2023-07-17,1,2026-09-21 14:37:59
EMP-036,Richard Johnson,Quality Inspector,Quality,43.75,,MC-007,2023-10-14,1,2026-09-21 14:37:59
EMP-037,Barbara Johnson,CNC Machinist,Machining,40.5,,LB-001,2015-01-18,1,2026-09-21 14:37:59
EMP-038,Joseph Johnson,CNC Machinist,Machining,42.5,,LB-002,2015-04-17,1,2026-09-21 14:37:59
EMP-039,Susan Johnson,Assembly Technician,Assembly,44.5,,LB-003,2015-07-15,1,2026-09-21 14:37:59
EMP-040,Thomas Johnson,Quality Inspector,Quality,41.25,,LB-004,2015-10-12,1,2026-09-21 14:37:59
EMP-041,Jessica Johnson,Welder,Welding,43.25,,LB-005,2016-01-09,1,2026-09-21 14:37:59
EMP-042,Carlos Johnson,CNC Machinist,Machining,40.0,,MC-001,2016-04-07,1,2026-09-21 14:37:59
EMP-043,Sarah Johnson,CNC Machinist,Machining,42.0,,MC-002,2016-07-05,1,2026-09-21 14:37:59
EMP-044,Daniel Johnson,CNC Machinist,Machining,44.0,,MC-003,2016-10-02,1,2026-09-21 14:37:59
EMP-045,Karen Johnson,CNC Machinist,Machining,40.75,,MC-004,2016-12-30,1,2026-09-21 14:37:59
EMP-046,Matthew Johnson,CNC Machinist,Machining,42.75,,MC-005,2017-03-29,1,2026-09-21 14:37:59
EMP-047,Nancy Johnson,CNC Machinist,Machining,44.75,,MC-006,2017-06-26,1,2026-09-21 14:37:59
EMP-048,Anthony Johnson,Quality Inspector,Quality,41.5,,MC-007,2017-09-23,1,2026-09-21 14:37:59
EMP-049,Lisa Johnson,CNC Machinist,Machining,43.5,,LB-001,2017-12-21,1,2026-09-21 14:37:59
EMP-050,Mark Johnson,CNC Machinist,Machining,40.25,,LB-002,2018-03-20,1,2026-09-21 14:37:59
EMP-051,James Williams,Assembly Technician,Assembly,42.25,,LB-003,2018-06-17,1,2026-09-21 14:37:59
EMP-052,Maria Williams,Quality Inspector,Quality,44.25,,LB-004,2018-09-14,1,2026-09-21 14:37:59
